=== FRESH25 STAGE1-2B START Thu Aug 20 02:12:49 BST 2026 ===
Loading GLiNER-BioMed model... (this may take a moment on the first run)
 Fetching 12 files:   0%|          | 0/12 [00:00<?, ?it/s] Fetching 12 files: 100%|██████████| 12/12 [00:00<00:00, 2615.04it/s]
Loading GLiNER-relex model... (this may take a moment on the first run)
 Fetching 10 files:   0%|          | 0/10 [00:00<?, ?it/s] Fetching 10 files: 100%|██████████| 10/10 [00:00<00:00, 2682.12it/s]
Asking to truncate to max_length but no maximum length is provided and the model has no predefined maximum length. Default to no truncation.
Asking to truncate to max_length but no maximum length is provided and the model has no predefined maximum length. Default to no truncation.
Loading SapBERT model for vector normalization... (this may take a moment)
================================================================================
🚀 RUNNING END-TO-END PIPELINE (STAGE 1 -> STAGE 2a -> STAGE 2b) ON 25 NAMED NOTE(S)
================================================================================
Reading from /home/ec2-user/clinical_neuro_symbolic_pipeline_reorder/data/raw_notes/gold_notes.csv

[1/25] Running Stage 1 -> Stage 2a -> Stage 2b via src.clinical_pipeline.run_pipeline() on 11532659-DS-11...
ℹ️ 17/26 relations in 11532659-DS-11 had at least one unlinked endpoint.
... 478 entities accepted, 478 normalized, 478 routed LOW, 54 non-asserted, 0 retained below threshold, 11 recovered via original-form fallback.
DOCTOR WROTE         | LABEL        | OMOP MAPPING                 | TIER           | ASSERTION  | IN
colitis              | Condition    | Colitis                      | 1 (Exact)      | PRESENT    | LOW
diverticular disea   | Condition    | Diverticular disease         | 1 (Exact)      | POSSIBLE   | LOW
lower back           | Anatomy      | Lower back structure         | 2 (Synonym)    | POSSIBLE   | LOW
knee pain            | Condition    | Pain of knee region          | 2 (Synonym)    | POSSIBLE   | LOW
neurofibromas        | Condition    | Neurofibroma                 | 3 (Semantic)   | ABSENT     | LOW
abdomen              | Anatomy      | Abdomen                      | 1 (Exact)      | ABSENT     | LOW
abdomen              | Anatomy      | Abdomen                      | 1 (Exact)      | ABSENT     | LOW
Anicteric sclerae    | Anatomy      | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
conjunctiva          | Anatomy      | Conjunctival structure       | 2 (Synonym)    | PRESENT    | LOW
pupils               | Anatomy      | Pupil structure              | 3 (Semantic)   | PRESENT    | LOW
fundi                | Anatomy      | Gastric fundus part          | 3 (Semantic)   | PRESENT    | LOW
mucous membranes     | Anatomy      | Mucous membrane structure    | 3 (Semantic)   | PRESENT    | LOW
oropharynx           | Anatomy      | Oropharyngeal structure      | 2 (Synonym)    | PRESENT    | LOW
hyperemia            | Condition    | Hyperemia                    | 1 (Exact)      | ABSENT     | LOW
Trachea              | Anatomy      | Tracheal structure           | 2 (Synonym)    | PRESENT    | LOW
neck                 | Anatomy      | Neck structure               | 2 (Synonym)    | PRESENT    | LOW
adenopathy           | Condition    | Lymphadenopathy              | 3 (Semantic)   | ABSENT     | LOW
thyromegaly          | Condition    | Goiter                       | 2 (Synonym)    | ABSENT     | LOW
carotid bruits       | Symptom      | Carotid bruit                | 3 (Semantic)   | ABSENT     | LOW
Chest                | Anatomy      | Thoracic structure           | 2 (Synonym)    | PRESENT    | LOW
lungs                | Anatomy      | Lung structure               | 3 (Semantic)   | PRESENT    | LOW
S1                   | Anatomy      | Structure of first sacral    | 2 (Synonym)    | PRESENT    | LOW
S2                   | Anatomy      | Structure of second sacral   | 2 (Synonym)    | PRESENT    | LOW
abdomen              | Anatomy      | Abdomen                      | 1 (Exact)      | PRESENT    | LOW
bowel sounds         | Symptom      | Bowel sounds                 | 1 (Exact)      | PRESENT    | LOW
umbilicus            | Anatomy      | Umbilical structure          | 2 (Synonym)    | ABSENT     | LOW
spinal tenderness    | Symptom      | Pain in spine                | 3 (Semantic)   | ABSENT     | LOW
flank pain           | Symptom      | Flank pain                   | 1 (Exact)      | ABSENT     | LOW
venous stasis        | Condition    | Venous stasis                | 1 (Exact)      | ABSENT     | LOW
joint swelling       | Symptom      | Joint swelling               | 1 (Exact)      | ABSENT     | LOW
Hct-43               | Lab Test     | Hematocrit determination     | 3 (Semantic)   | PRESENT    | LOW
WBC-6                | Lab Test     | White blood cell count       | 3 (Semantic)   | PRESENT    | LOW
RBC-4                | Lab Test     | Red blood cell count         | 3 (Semantic)   | PRESENT    | LOW
Hgb-12.1             | Lab Test     | Measurement of total hemog   | 3 (Semantic)   | PRESENT    | LOW
Hct-37.3             | Lab Test     | Hematocrit determination     | 3 (Semantic)   | PRESENT    | LOW
MCV-82 MCH-26.7      | Lab Test     | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
MCHC-32              | Lab Test     | Mean corpuscular hemoglobi   | 3 (Semantic)   | PRESENT    | LOW
RDW-13               | Lab Test     | Red cell distribution widt   | 3 (Semantic)   | PRESENT    | LOW
Plt                  | Lab Test     | Platelet count               | 3 (Semantic)   | PRESENT    | LOW
BLOOD                | Symptom      | Blood                        | 1 (Exact)      | PRESENT    | LOW
Plt                  | Anatomy      | Platelet                     | 2 (Synonym)    | PRESENT    | LOW
laparoscopic gastr   | Procedure    | Laparoscopic adjustable ga   | 3 (Semantic)   | PRESENT    | LOW
urinary retention    | Condition    | Retention of urine           | 2 (Synonym)    | PRESENT    | LOW
roxicet              | Medication   | ROXOPERONE                   | 3 (Semantic)   | PRESENT    | LOW
bariatric stage 3    | Procedure    | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
Levothyroxine        | Medication   | levothyroxine                | 1 (Exact)      | PRESENT    | LOW
hypothyroid          | Condition    | Hypothyroidism               | 2 (Synonym)    | PRESENT    | LOW
Citalopram           | Medication   | citalopram                   | 1 (Exact)      | PRESENT    | LOW
depression           | Condition    | Depressive disorder          | 2 (Synonym)    | PRESENT    | LOW
Simvastatin          | Medication   | simvastatin                  | 1 (Exact)      | ABSENT     | LOW
hyperlipidemia       | Condition    | Hyperlipidemia               | 1 (Exact)      | ABSENT     | LOW
Ibuprofen            | Medication   | ibuprofen                    | 1 (Exact)      | ABSENT     | LOW
knee pain            | Symptom      | Pain of knee region          | 2 (Synonym)    | ABSENT     | LOW
Betamethasone        | Medication   | betamethasone                | 1 (Exact)      | ABSENT     | LOW
multivitamins with   | Medication   | Multivitamin preparation     | 3 (Semantic)   | ABSENT     | LOW
Levothyroxine        | Medication   | levothyroxine                | 1 (Exact)      | PRESENT    | LOW
Citalopram           | Medication   | citalopram                   | 1 (Exact)      | PRESENT    | LOW
Simvastatin          | Medication   | simvastatin                  | 1 (Exact)      | PRESENT    | LOW
Oxycodone-Acetamin   | Medication   | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
Colace               | Medication   | cola extract                 | 3 (Semantic)   | PRESENT    | LOW
constipation         | Condition    | Constipation                 | 1 (Exact)      | CONDITIONAL | LOW
fever                | Symptom      | Fever                        | 1 (Exact)      | CONDITIONAL | LOW
chest pain           | Symptom      | Chest pain                   | 1 (Exact)      | CONDITIONAL | LOW
shortness of breat   | Symptom      | Dyspnea                      | 2 (Synonym)    | CONDITIONAL | LOW
severe               | Symptom      | Severe                       | 1 (Exact)      | CONDITIONAL | LOW
abdominal pain       | Condition    | Abdominal pain               | 1 (Exact)      | CONDITIONAL | LOW
pain                 | Symptom      | Pain                         | 1 (Exact)      | CONDITIONAL | LOW
severe               | Symptom      | Severe                       | 1 (Exact)      | CONDITIONAL | LOW
nausea               | Condition    | Nausea                       | 1 (Exact)      | CONDITIONAL | LOW
vomiting             | Condition    | Vomiting                     | 1 (Exact)      | CONDITIONAL | LOW
severe               | Symptom      | Severe                       | 1 (Exact)      | CONDITIONAL | LOW
abdominal bloating   | Condition    | Abdominal bloating           | 1 (Exact)      | CONDITIONAL | LOW
inability to eat o   | Symptom      | Unable to drink              | 3 (Semantic)   | CONDITIONAL | LOW
foul smelling or c   | Symptom      | Unmapped                     | 0 (Failed)     | CONDITIONAL | LOW
redness  or swelli   | Symptom      | Flushing                     | 3 (Semantic)   | CONDITIONAL | LOW
multivitamin with    | Medication   | Multivitamin preparation     | 3 (Semantic)   | PRESENT    | LOW
Colace               | Medication   | cola extract                 | 3 (Semantic)   | PRESENT    | LOW
constipation         | Condition    | Constipation                 | 1 (Exact)      | PRESENT    | LOW
NSAIDS               | Medication   | Unmapped                     | 0 (Failed)     | ABSENT     | LOW
Ibuprofen            | Medication   | ibuprofen                    | 1 (Exact)      | ABSENT     | LOW
Motrin               | Medication   | MOTEXAFIN                    | 3 (Semantic)   | ABSENT     | LOW
Aleve                | Medication   | ALENTEMOL                    | 3 (Semantic)   | ABSENT     | LOW
Nuprin               | Medication   | ibuprofen                    | 3 (Semantic)   | ABSENT     | LOW
Naproxen             | Medication   | naproxen                     | 1 (Exact)      | ABSENT     | LOW
Physical Exam        | Procedure    | Physical examination         | 1 (Exact)      | PRESENT    | LOW
room air             | Symptom      | Breathing room air           | 1 (Exact)      | PRESENT    | LOW
distress             | Symptom      | Distress                     | 1 (Exact)      | ABSENT     | LOW
rashes               | Condition    | Eruption                     | 1 (Exact)      | PRESENT    | LOW
supple               | Symptom      | Normal movement of neck      | 1 (Exact)      | PRESENT    | LOW
soft                 | Symptom      | Abdomen soft                 | 1 (Exact)      | PRESENT    | LOW
edema                | Condition    | Edema                        | 1 (Exact)      | ABSENT     | LOW
Mental Status        | Procedure    | Neurological mental status   | 1 (Exact)      | PRESENT    | LOW
Activity Status      | Symptom      | Physical functional depend   | 1 (Exact)      | PRESENT    | LOW

[12/25] Running Stage 1 -> Stage 2a -> Stage 2b via src.clinical_pipeline.run_pipeline() on 12860208-DS-18...
... 123 entities accepted, 123 normalized, 123 routed LOW, 25 non-asserted, 0 retained below threshold, 1 recovered via original-form fallback.
DOCTOR WROTE         | LABEL        | OMOP MAPPING                 | TIER           | ASSERTION  | IN
---------------------------------------------------------------------------------------------------------
Chest pain           | Symptom      | Chest pain                   | 1 (Exact)      | PRESENT    | LOW
GERD                 | Condition    | Gastroesophageal reflux di   | 1 (Exact)      | PRESENT    | LOW
chest pain           | Symptom      | Chest pain                   | 1 (Exact)      | PRESENT    | LOW
dizziness            | Symptom      | Dizziness                    | 1 (Exact)      | PRESENT    | LOW
GERD                 | Condition    | Gastroesophageal reflux di   | 1 (Exact)      | CONDITIONAL | LOW
SSRI                 | Medication   | Unmapped                     | 0 (Failed)     | ABSENT     | LOW
ASA                  | Medication   | aspirin                      | 3 (Semantic)   | PRESENT    | LOW
asa                  | Medication   | aspirin                      | 3 (Semantic)   | PRESENT    | LOW
chest pain           | Symptom      | Chest pain                   | 1 (Exact)      | PRESENT    | LOW
VSS                  | Anatomy      | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
ECG                  | Procedure    | Electrocardiographic proce   | 2 (Synonym)    | PRESENT    | LOW
inferior             | Symptom      | Inferior                     | 1 (Exact)      | PRESENT    | LOW
infarct              | Symptom      | Infarct                      | 1 (Exact)      | PRESENT    | LOW
ischemic changes     | Condition    | Structural change due to i   | 3 (Semantic)   | ABSENT     | LOW
Trop flat            | Lab Test     | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
stress test          | Procedure    | Circulatory stress test      | 3 (Semantic)   | PRESENT    | LOW
dizziness            | Symptom      | Dizziness                    | 1 (Exact)      | ABSENT     | LOW
sob                  | Symptom      | Dyspnea                      | 2 (Synonym)    | ABSENT     | LOW
nausea               | Symptom      | Nausea                       | 1 (Exact)      | ABSENT     | LOW
cp                   | Symptom      | Unmapped                     | 0 (Failed)     | ABSENT     | LOW
HTN                  | Condition    | Hypertensive disorder        | 2 (Synonym)    | PRESENT    | LOW
GERD                 | Condition    | Gastroesophageal reflux di   | 1 (Exact)      | PRESENT    | LOW
HCL                  | Condition    | Toxic effect of hydrochlor   | 3 (Semantic)   | PRESENT    | LOW
Cancer - lung and    | Condition    | Malignant neoplasm of live   | 3 (Semantic)   | PRESENT    | LOW
CAD                  | Condition    | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
AF                   | Condition    | Atrial fibrillation          | 3 (Semantic)   | PRESENT    | LOW
VSS                  | Anatomy      | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
Distal pulses        | Anatomy      | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
PLT                  | Lab Test     | Platelet count               | 3 (Semantic)   | PRESENT    | LOW
MONOS-9              | Lab Test     | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
EOS-1                | Lab Test     | Eosinophil count             | 3 (Semantic)   | PRESENT    | LOW
BASOS-0.5            | Lab Test     | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
WBC-6                | Lab Test     | White blood cell count       | 3 (Semantic)   | PRESENT    | LOW
RBC-4                | Lab Test     | Red blood cell count         | 3 (Semantic)   | PRESENT    | LOW
HGB-14               | Lab Test     | Measurement of total hemog   | 3 (Semantic)   | PRESENT    | LOW
HCT-39               | Lab Test     | Hematocrit determination     | 3 (Semantic)   | PRESENT    | LOW
MCV-84               | Lab Test     | Erythrocyte mean corpuscul   | 3 (Semantic)   | PRESENT    | LOW
MCH-30               | Lab Test     | Mean corpuscular hemoglobi   | 3 (Semantic)   | PRESENT    | LOW
MCHC-35              | Lab Test     | Mean corpuscular hemoglobi   | 3 (Semantic)   | PRESENT    | LOW
RDW-13               | Lab Test     | Red cell distribution widt   | 3 (Semantic)   | PRESENT    | LOW
D-DIMER              | Lab Test     | D-dimer assay                | 3 (Semantic)   | PRESENT    | LOW
cTropnT              | Lab Test     | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
estGFR-Using         | Lab Test     | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
GLUCOSE-92           | Lab Test     | Glucose measurement          | 3 (Semantic)   | PRESENT    | LOW
UREA N-20            | Lab Test     | Urea measurement             | 3 (Semantic)   | PRESENT    | LOW
SODIUM-142           | Lab Test     | Sodium measurement           | 3 (Semantic)   | PRESENT    | LOW
CHLORIDE-103         | Lab Test     | Chloride measurement         | 3 (Semantic)   | PRESENT    | LOW
TOTAL CO2-26         | Lab Test     | Carbon dioxide content mea   | 3 (Semantic)   | PRESENT    | LOW
ANION GAP-17         | Lab Test     | Anion gap measurement        | 3 (Semantic)   | PRESENT    | LOW
cTropnT              | Lab Test     | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
S1Q3T3               | Lab Test     | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
ischemic changes     | Condition    | Structural change due to i   | 3 (Semantic)   | ABSENT     | LOW
HEART                | Lab Test     | Troponin measurement         | 3 (Semantic)   | ABSENT     | LOW
HTN                  | Condition    | Hypertensive disorder        | 2 (Synonym)    | PRESENT    | LOW
ECG                  | Procedure    | Electrocardiographic proce   | 2 (Synonym)    | PRESENT    | LOW
lightheadedness      | Symptom      | Lightheadedness              | 1 (Exact)      | PRESENT    | LOW
ST  segment          | Anatomy      | Unmapped                     | 0 (Failed)     | ABSENT     | LOW
heart                | Lab Test     | Troponin measurement         | 3 (Semantic)   | ABSENT     | LOW
ST segment           | Anatomy      | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
Chest pain           | Symptom      | Chest pain                   | 1 (Exact)      | PRESENT    | LOW
gastritis            | Condition    | Gastritis                    | 1 (Exact)      | ABSENT     | LOW
SSRI                 | Medication   | Unmapped                     | 0 (Failed)     | ABSENT     | LOW
asa                  | Medication   | aspirin                      | 3 (Semantic)   | PRESENT    | LOW
ntg                  | Medication   | nitroglycerin                | 1 (Exact)      | POSSIBLE   | LOW
HTN                  | Condition    | Hypertensive disorder        | 2 (Synonym)    | PRESENT    | LOW
HCL                  | Condition    | Toxic effect of hydrochlor   | 3 (Semantic)   | PRESENT    | LOW
Troponin             | Lab Test     | Troponin measurement         | 3 (Semantic)   | PRESENT    | LOW
Exercise stress te   | Lab Test     | Exercise stress test - end   | 2 (Synonym)    | PRESENT    | LOW
chest pain           | Symptom      | Chest pain                   | 1 (Exact)      | ABSENT     | LOW
dizziness            | Symptom      | Dizziness                    | 1 (Exact)      | ABSENT     | LOW
chest pain           | Symptom      | Chest pain                   | 1 (Exact)      | PRESENT    | LOW
dizziness            | Symptom      | Dizziness                    | 1 (Exact)      | PRESENT    | LOW
celexa               | Medication   | citalopram                   | 3 (Semantic)   | PRESENT    | LOW
chest pain           | Symptom      | Chest pain                   | 1 (Exact)      | PRESENT    | LOW
acid reflux          | Condition    | Acid reflux                  | 1 (Exact)      | PRESENT    | LOW
dizziness            | Symptom      | Dizziness                    | 1 (Exact)      | PRESENT    | LOW
lonliness            | Symptom      | Feeling lonely               | 3 (Semantic)   | PRESENT    | LOW
SSRI                 | Medication   | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
dizziness            | Symptom      | Dizziness                    | 1 (Exact)      | PRESENT    | LOW
citalopram           | Medication   | citalopram                   | 1 (Exact)      | PRESENT    | LOW
gemfibrozil          | Medication   | gemfibrozil                  | 1 (Exact)      | PRESENT    | LOW
hydrochlorothiazid   | Medication   | hydrochlorothiazide          | 1 (Exact)      | ABSENT     | LOW
omeprazole           | Medication   | omeprazole                   | 1 (Exact)      | ABSENT     | LOW
ranitidine           | Medication   | ranitidine                   | 1 (Exact)      | PRESENT    | LOW
HCl                  | Medication   | hydrochloric acid            | 1 (Exact)      | PRESENT    | LOW
terazosin            | Medication   | terazosin                    | 1 (Exact)      | PRESENT    | LOW
acetaminophen        | Medication   | acetaminophen                | 1 (Exact)      | PRESENT    | LOW
carboxymethylcellu   | Medication   | carboxymethylcellulose       | 3 (Semantic)   | CONDITIONAL | LOW
cholecalciferol      | Medication   | cholecalciferol              | 1 (Exact)      | PRESENT    | LOW
glucosamine-chondr   | Medication   | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
guar gum             | Medication   | guar gum                     | 1 (Exact)      | PRESENT    | LOW
Benefiber            | Medication   | wheat dextrin                | 3 (Semantic)   | PRESENT    | LOW
guar gum             | Medication   | guar gum                     | 1 (Exact)      | PRESENT    | LOW
multivitamin-miner   | Medication   | lutein                       | 3 (Semantic)   | PRESENT    | LOW
Centrum Silver       | Medication   | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
citalopram           | Medication   | citalopram                   | 1 (Exact)      | PRESENT    | LOW
gemfibrozil          | Medication   | gemfibrozil                  | 1 (Exact)      | PRESENT    | LOW
hydrochlorothiazid   | Medication   | hydrochlorothiazide          | 1 (Exact)      | PRESENT    | LOW
omeprazole           | Medication   | omeprazole                   | 1 (Exact)      | PRESENT    | LOW
E.C.                 | Medication   | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
ranitidine           | Medication   | ranitidine                   | 1 (Exact)      | PRESENT    | LOW
HCl                  | Medication   | hydrochloric acid            | 1 (Exact)      | PRESENT    | LOW
terazosin            | Medication   | terazosin                    | 1 (Exact)      | PRESENT    | LOW
acetaminophen        | Medication   | acetaminophen                | 1 (Exact)      | PRESENT    | LOW
polyvinyl alcohol-   | Medication   | polyvinyl alcohol            | 3 (Semantic)   | PRESENT    | LOW
dry eyes             | Condition    | Dry eyes                     | 1 (Exact)      | CONDITIONAL | LOW
cholecalciferol      | Medication   | cholecalciferol              | 1 (Exact)      | PRESENT    | LOW
Benefiber            | Medication   | wheat dextrin                | 3 (Semantic)   | PRESENT    | LOW
guar gum             | Medication   | guar gum                     | 1 (Exact)      | PRESENT    | LOW
Centrum Silver       | Medication   | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
hydrocortisone 1 %   | Medication   | hydrocortisone 10 MG/ML To   | 3 (Semantic)   | PRESENT    | LOW
dizziness            | Symptom      | Dizziness                    | 1 (Exact)      | PRESENT    | LOW
celexa               | Medication   | citalopram                   | 3 (Semantic)   | POSSIBLE   | LOW
Physical Exam        | Procedure    | Physical examination         | 1 (Exact)      | PRESENT    | LOW
BP                   | Symptom      | Blood pressure finding       | 1 (Exact)      | PRESENT    | LOW
NAD                  | Symptom      | No abnormality detected      | 1 (Exact)      | PRESENT    | LOW
Alert                | Symptom      | Mentally alert               | 1 (Exact)      | PRESENT    | LOW
oriented             | Symptom      | Orientated                   | 1 (Exact)      | PRESENT    | LOW
JVD                  | Symptom      | Jugular venous engorgement   | 1 (Exact)      | ABSENT     | LOW
RRR                  | Symptom      | Normal heart rate            | 1 (Exact)      | PRESENT    | LOW
edema                | Condition    | Edema                        | 1 (Exact)      | ABSENT     | LOW
Mental Status        | Procedure    | Neurological mental status   | 1 (Exact)      | PRESENT    | LOW
Activity Status      | Symptom      | Physical functional depend   | 1 (Exact)      | PRESENT    | LOW

[13/25] Running Stage 1 -> Stage 2a -> Stage 2b via src.clinical_pipeline.run_pipeline() on 12880467-DS-7...
ℹ️ 1/6 relations in 12880467-DS-7 had at least one unlinked endpoint.
... 183 entities accepted, 183 normalized, 183 routed LOW, 27 non-asserted, 0 retained below threshold, 2 recovered via original-form fallback.
DOCTOR WROTE         | LABEL        | OMOP MAPPING                 | TIER           | ASSERTION  | IN
---------------------------------------------------------------------------------------------------------
Seizures             | Symptom      | Seizure                      | 3 (Semantic)   | PRESENT    | LOW
confusion            | Symptom      | Clouded consciousness        | 2 (Synonym)    | PRESENT    | LOW
PMHx of  TIIDM       | Condition    | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
pituitary mass       | Condition    | Pituitary mass               | 1 (Exact)      | PRESENT    | LOW
hyperlipidemia       | Condition    | Hyperlipidemia               | 1 (Exact)      | PRESENT    | LOW
seizures             | Symptom      | Seizure                      | 3 (Semantic)   | PRESENT    | LOW
fatigue              | Symptom      | Fatigue                      | 1 (Exact)      | PRESENT    | LOW
seizures             | Symptom      | Seizure                      | 3 (Semantic)   | PRESENT    | LOW
seizures             | Symptom      | Seizure                      | 3 (Semantic)   | PRESENT    | LOW
Keppra               | Medication   | levetiracetam                | 3 (Semantic)   | PRESENT    | LOW
light-headedness     | Symptom      | Lightheadedness              | 2 (Synonym)    | PRESENT    | LOW
fatigue              | Symptom      | Fatigue                      | 1 (Exact)      | PRESENT    | LOW
memory  lapses       | Symptom      | Memory lapses                | 1 (Exact)      | PRESENT    | LOW
memory lapses        | Symptom      | Memory lapses                | 1 (Exact)      | PRESENT    | LOW
vertigo              | Symptom      | Vertigo                      | 1 (Exact)      | ABSENT     | LOW
poor sleep           | Symptom      | Difficulty sleeping          | 2 (Synonym)    | ABSENT     | LOW
paresthesias         | Symptom      | Paresthesia                  | 3 (Semantic)   | ABSENT     | LOW
right temporal reg   | Anatomy      | Right temporal lobe struct   | 3 (Semantic)   | PRESENT    | LOW
MRI                  | Procedure    | Magnetic resonance imaging   | 1 (Exact)      | PRESENT    | LOW
levetiracetam        | Medication   | levetiracetam                | 1 (Exact)      | PRESENT    | LOW
levetiracetam        | Medication   | levetiracetam                | 1 (Exact)      | POSSIBLE   | LOW
fatigue              | Symptom      | Fatigue                      | 1 (Exact)      | POSSIBLE   | LOW
dizziness            | Symptom      | Dizziness                    | 1 (Exact)      | POSSIBLE   | LOW
resection            | Procedure    | Excision                     | 2 (Synonym)    | PRESENT    | LOW
pituitary mass       | Anatomy      | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
double vision        | Symptom      | Diplopia                     | 2 (Synonym)    | PRESENT    | LOW
radiation therapy    | Procedure    | Radiotherapy                 | 2 (Synonym)    | PRESENT    | LOW
headache             | Symptom      | Headache                     | 1 (Exact)      | PRESENT    | LOW
headache             | Symptom      | Headache                     | 1 (Exact)      | PRESENT    | LOW
diplopia             | Symptom      | Diplopia                     | 1 (Exact)      | PRESENT    | LOW
diplopia             | Symptom      | Diplopia                     | 1 (Exact)      | ABSENT     | LOW
dysarthria           | Symptom      | Dysarthria                   | 1 (Exact)      | ABSENT     | LOW
dysphagia            | Symptom      | Dysphagia                    | 1 (Exact)      | ABSENT     | LOW
difficulties produ   | Symptom      | Difficulty comprehending s   | 3 (Semantic)   | ABSENT     | LOW
chest pain           | Symptom      | Chest pain                   | 1 (Exact)      | ABSENT     | LOW
SOB                  | Symptom      | Dyspnea                      | 2 (Synonym)    | ABSENT     | LOW
dry mouth            | Symptom      | Xerostomia                   | 2 (Synonym)    | PRESENT    | LOW
Pituitary Mass       | Condition    | Pituitary mass               | 1 (Exact)      | PRESENT    | LOW
s/p                  | Symptom      | Status post                  | 1 (Exact)      | PRESENT    | LOW
resection            | Procedure    | Excision                     | 2 (Synonym)    | PRESENT    | LOW
Vitamin D deficien   | Condition    | Multiple vitamin deficienc   | 3 (Semantic)   | PRESENT    | LOW
Hyperlipidemia       | Condition    | Hyperlipidemia               | 1 (Exact)      | PRESENT    | LOW
Dry mouth            | Symptom      | Xerostomia                   | 2 (Synonym)    | PRESENT    | LOW
Cranial Nerves       | Anatomy      | Examination of cranial ner   | 3 (Semantic)   | PRESENT    | LOW
nystagmus            | Symptom      | Nystagmus                    | 1 (Exact)      | PRESENT    | LOW
Palate               | Anatomy      | Palatal structure            | 2 (Synonym)    | PRESENT    | LOW
trapezii             | Anatomy      | Bone structure of trapeziu   | 3 (Semantic)   | PRESENT    | LOW
SCM                  | Anatomy      | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
Tongue               | Anatomy      | Tongue structure             | 2 (Synonym)    | PRESENT    | LOW
Delt Bic Tri         | Procedure    | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
Ham                  | Condition    | Human T-cell lymphotropic    | 3 (Semantic)   | PRESENT    | LOW
dysmetria            | Symptom      | Dysmetria                    | 1 (Exact)      | ABSENT     | LOW
Dry mouth            | Symptom      | Xerostomia                   | 2 (Synonym)    | PRESENT    | LOW
Cranial Nerves       | Anatomy      | Examination of cranial ner   | 3 (Semantic)   | PRESENT    | LOW
VI                   | Anatomy      | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
nystagmus            | Symptom      | Nystagmus                    | 1 (Exact)      | ABSENT     | LOW
Palate               | Anatomy      | Palatal structure            | 2 (Synonym)    | PRESENT    | LOW
trapezii             | Anatomy      | Bone structure of trapeziu   | 3 (Semantic)   | PRESENT    | LOW
SCM                  | Anatomy      | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
Tongue               | Anatomy      | Tongue structure             | 2 (Synonym)    | PRESENT    | LOW
asterixis            | Symptom      | Asterixis                    | 1 (Exact)      | ABSENT     | LOW
Delt Bic Tri         | Procedure    | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
Ham                  | Condition    | Human T-cell lymphotropic    | 3 (Semantic)   | PRESENT    | LOW
dysmetria            | Symptom      | Dysmetria                    | 1 (Exact)      | ABSENT     | LOW
WBC-5                | Lab Test     | CD15 count                   | 3 (Semantic)   | PRESENT    | LOW
RBC-4                | Lab Test     | Red blood cell count         | 3 (Semantic)   | PRESENT    | LOW
Hgb-13               | Lab Test     | Measurement of total hemog   | 3 (Semantic)   | PRESENT    | LOW
Hct-40               | Lab Test     | Hematocrit determination     | 3 (Semantic)   | PRESENT    | LOW
MCV-88               | Lab Test     | Erythrocyte mean corpuscul   | 3 (Semantic)   | PRESENT    | LOW
MCH-29               | Lab Test     | Mean corpuscular hemoglobi   | 3 (Semantic)   | PRESENT    | LOW
MCHC-33              | Lab Test     | Mean corpuscular hemoglobi   | 3 (Semantic)   | PRESENT    | LOW
RDW-12               | Lab Test     | Red cell distribution widt   | 3 (Semantic)   | PRESENT    | LOW
RDWSD-40             | Lab Test     | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
Glucose-311          | Lab Test     | Glucose measurement          | 3 (Semantic)   | PRESENT    | LOW
UreaN-13             | Lab Test     | Urea measurement             | 3 (Semantic)   | PRESENT    | LOW
Creat-1              | Lab Test     | Creatinine measurement       | 3 (Semantic)   | PRESENT    | LOW
Na-140  K-3          | Lab Test     | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
Cl-98                | Lab Test     | Chlorine measurement         | 3 (Semantic)   | PRESENT    | LOW
HCO3-22              | Lab Test     | Bicarbonate measurement      | 3 (Semantic)   | PRESENT    | LOW
